Thomas;United Kingdom;921;24470;1.05;1.03;17428;41.5;1.1;
stfN;Germany;1349;35834;1.06;1.03;24872;46.5;1.06;
Spargo;Finland;433;11725;1.05;1.03;8165;32.9;1.1;
RCF;Brazil;643;16851;1.05;1.03;11965;43.3;1.16;
kressy;Germany;1102;29508;1.06;1.03;20337;47.9;1.01;
Patitek;Poland;377;9918;1.03;1.03;7153;51.6;1.13;
shuadapai;China;549;14214;1.05;1.03;9880;52.4;1.03;
aizy;Denmark;1564;41206;1.04;1.03;28807;50.4;1.05;
cxzi;United States;423;10971;1.01;1.03;7988;37.9;1.19;
FrostMisty;Indonesia;376;9498;1.07;1.03;6710;41.8;1.03;
fl0m;United States;655;17274;1.06;1.03;12087;29.8;1.09;
RIKO;United States;406;10568;1.02;1.03;7573;52.7;1.07;
Forester;Russia;1169;31054;1.05;1.03;21565;53.8;1.08;
dennis;Sweden;1575;41834;1.04;1.03;29842;54.4;1.06;
food;United States;456;11711;1.05;1.03;8248;50.2;1.08;
FaNg;Canada;629;16396;1.05;1.03;11628;56.0;1.09;
flamie;Russia;1601;42283;1.05;1.03;29497;54.5;1.01;
Patsi;Russia;487;13044;1.03;1.03;9244;45.1;1.13;
glowiing;Russia;477;12701;1.02;1.03;9120;55.4;1.15;
pashaBiceps;Poland;1592;41228;1.04;1.02;29501;37.3;1.06;
hoody;Finland;575;15453;1.04;1.02;10871;49.6;1.09;
CyberFocus;Belarus;491;12779;1.04;1.02;9080;29.7;1.16;
Maluk3;Brazil;1024;26554;1.07;1.02;18315;29.2;1.09;
kai;Brazil;483;12692;1.05;1.02;8814;35.3;1.01;
Krad;Russia;1137;30234;1.03;1.02;21101;48.7;1.11;
sLowi;Finland;1119;30068;1.04;1.02;20905;51.6;1.11;
HexT;Canada;461;12242;1.04;1.02;8686;50.2;1.13;
smiley;Kazakhstan;478;12883;1.08;1.02;8764;28.8;1.07;
niko;Denmark;1211;32024;1.05;1.02;22111;49.4;1.04;
AMANEK;France;1030;27668;1.07;1.02;18691;45.2;1.01;
dragonfly;Denmark;507;13234;1.06;1.02;9094;25.1;1.13;
szejn;Poland;505;13478;1.03;1.02;9375;51.7;1.06;
kolor;Hungary;552;14434;1.03;1.02;10220;27.7;1.11;
JDC;Germany;471;12350;1.04;1.02;8625;51.4;1.06;
NBK-;France;2050;53613;1.04;1.02;37151;53.7;1.06;
DeStiNy;Brazil;1050;27280;1.02;1.02;19569;50.8;1.18;
